WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,FID,one,l_hs_km2,rmpshpr,are_km2,l_s_km2,l_s_pct
555624884,555624884,1,Reserve Aquatique du Grand Sud du Gabon,Reserve Aquatique du Grand Sud du Gabon,Reserve Aquatique,Aquatic Reserve,National,Not Assigned,Not Applicable,2,27518.128289,27694.5883248,27518.128289,27694.5883248,Not Reported,0,Designated,2017,Federal or national ministry or agency,State,Agence Nationale des Parcs Nationaux,Currently being developed,State Verified,1910,Not Reported,GAB,GAB,0,1,3.143504327621866,0,10310679.043503331,1.95740243969869,0.622681643062827
555635931,555635931,1,Área de Proteção Ambiental do Arquipelago De Sao Pedro e Sao Paulo,Área de Proteção Ambiental do Arquipelago De Sao Pedro e Sao Paulo,Área de Proteção Ambiental,Environmental Protection Area,National,V,Not Applicable,2,0,387104.016399,0,387104.016399,None,0,Designated,2018,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conservação da Biodiversidade,Not Reported,State Verified,1802,Not Reported,BRA,BRA,0,1,27.83437718722333,0,10310679.043503331,2.90101962590115,0.104224341230555
555512160,555512160,1,Prince Edward Island Marine Protected Area,Prince Edward Island Marine Protected Area,Marine Protected Area,Marine Protected Area,National,Not Reported,Not Applicable,2,180831.730324,181229.455884071,181229.455871278,181172.753806,Not Reported,0,Designated,2013,Federal or national ministry or agency,State,Department of Environmental Affairs (DEA),Not Reported,State Verified,1840,ZA-WC,ZAF,ZAF,0,1,10897.98876492276,0,10310679.043503331,3825.35153979293,0.351014450676032
555512237,555512237,1,Altair Seamount High Seas MPA,Altair Seamount High Seas MPA,Marine Protected Area (OSPAR),Marine Protected Area (OSPAR),Regional,Not Reported,Not Applicable,2,4383.75557413,4384.2268482,4383.75557413,4384.22684384,Not Reported,0,Designated,2010,Collaborative governance,Not Reported,OSPAR Commission/Contracting Parties; other Cas,Not Reported,State Verified,883,Not Reported,ABNJ,ABNJ,0,1,4383.755574315863,0,5200136.424267548,4383.75557431586,1
555512238,555512238,1,"Josephine Seamount High Seas MPA
","Josephine Seamount High Seas MPA
",Marine Protected Area (OSPAR),Marine Protected Area (OSPAR),Regional,Not Reported,Not Applicable,2,19364.9476619,19401.5028871,19364.9476619,19401.5028871,Not Reported,0,Designated,2010,Collaborative governance,Not Reported,OSPAR Commission/Contracting Parties; other Cas,Not Reported,State Verified,883,Not Reported,ABNJ,ABNJ,0,1,19364.947661331793,0,5200136.424267548,11806.0808700438,0.609662420808828
555512240,555512240,1,MAR North of the Azores High Seas MPA,MAR North of the Azores High Seas MPA,Marine Protected Area (OSPAR),Marine Protected Area (OSPAR),Regional,Not Reported,Not Applicable,2,93572.4589916,93595.5083027,93572.4589916,93595.5083025,Not Reported,0,Designated,2010,Collaborative governance,Not Reported,OSPAR Commission/Contracting Parties; other Cas,Not Reported,State Verified,883,Not Reported,ABNJ,ABNJ,0,1,93572.45899764965,0,5200136.424267548,89431.9023866058,0.955750263962307
555512239,555512239,1,Milne Seamount Complex MPA,Milne Seamount Complex MPA,Marine Protected Area (OSPAR),Marine Protected Area (OSPAR),Regional,Not Reported,Not Applicable,2,20913.8799758,20915.4135413,20913.8799758,20915.413535,Not Reported,0,Designated,2010,Collaborative governance,Not Reported,OSPAR Commission/Contracting Parties; other Cas,Not Reported,State Verified,883,Not Reported,ABNJ,ABNJ,0,1,20913.879978624576,0,5200136.424267548,20913.8799786246,1
555512241,555512241,1,Charlie-Gibbs South High Seas MPA,Charlie-Gibbs South High Seas MPA,Marine Protected Area (OSPAR),Marine Protected Area (OSPAR),Regional,Not Reported,Not Applicable,2,145420,146438.333614,145420,146438.333588,Not Reported,0,Designated,2010,Collaborative governance,Not Reported,OSPAR Commission/Contracting Parties; other Cas,Not Reported,State Verified,883,Not Reported,ABNJ,ABNJ,0,1,145179.97860674572,0,5200136.424267548,2235.19684430373,0.0153960405956408
555512236,555512236,1,Antialtair Seamount High Seas MPA,Antialtair Seamount High Seas MPA,Marine Protected Area (OSPAR),Marine Protected Area (OSPAR),Regional,Not Reported,Not Applicable,2,2806.55388502,2807.51325895,2806.55388502,2807.51325647,Not Reported,0,Designated,2010,Collaborative governance,Not Reported,OSPAR Commission/Contracting Parties; other Cas,Not Reported,State Verified,883,Not Reported,ABNJ,ABNJ,0,1,2806.5538848635942,0,5200136.424267548,2806.55388486359,1
555557131,555557131,1,Rainbow hydrothermal vent field,Rainbow hydrothermal vent field,Marine Protected Area (OSPAR),Marine Protected Area (OSPAR),Regional,Not Applicable,Not Applicable,2,22,22.2125153955,22,22.2125154868,Not Reported,0,Designated,2006,Collaborative governance,Not Reported,OSPAR Commission,http://mpa.ospar.org/home_ospar/mpa_datasheets,State Verified,883,Not Reported,PRT,PRT,0,1,22.167306308567014,0,5200136.424267548,22.167306308567,1
