eez_mrgid,abnj_length_km,sol_length_km,pct_length,PolygonID,GeoName,Pol_type,MRGID_Ter1,Territory1,MRGID_Sov1,Sovereign1,ISO_Ter1,MRGID_Ter2,Territory2,MRGID_Sov2,Sovereign2,ISO_Ter2,MRGID_Ter3,Territory3,MRGID_Sov3,Sovereign3,ISO_Ter3,x_1,y_1,Area_km2,MRGID_EEZ,rmapshaper,rmapshap_1
5677,100.2227538675,50.1113769336995,0.499999999999498,224,French Exclusive Economic Zone,200NM,17,France,17,France,FRA,0,NA,0,NA,NA,0,NA,0,NA,NA,-1.9661292,46.0421241,344795.437503,5677,209,NA
5680,1503.1941796714,0,0,74,Icelandic Exclusive Economic Zone,200NM,2129,Iceland,2129,Iceland,ISL,0,NA,0,NA,NA,0,NA,0,NA,NA,-18.4548613,64.6994946,763172.764242,5680,71,NA
5681,1403.0376335572,651.3964052192,0.464275789643417,113,Irish Exclusive Economic Zone,200NM,2114,Ireland,2114,Ireland,IRL,0,NA,0,NA,NA,0,NA,0,NA,NA,-11.7463132,52.6526942,426997.656893,5681,108,NA
5686,1503.2236053395,50.1113769336995,0.0333359433391694,231,Norwegian Exclusive Economic Zone,200NM,2252,Norway,2252,Norway,NOR,0,NA,0,NA,NA,0,NA,0,NA,NA,14.0571352,68.1889257,933667.554218,5686,216,NA
5688,952.086736072901,851.871338622401,0.894741315414328,96,Portuguese Exclusive Economic Zone,200NM,2243,Portugal,2243,Portugal,PRT,0,NA,0,NA,NA,0,NA,0,NA,NA,-10.9228377,38.3192142,315475.133682,5688,91,NA
5690,13678.9714015868,1904.0704823065,0.139196904972374,232,Russian Exclusive economic Zone,200NM,2240,Russia,2240,Russia,RUS,0,NA,0,NA,NA,0,NA,0,NA,NA,93.5554083,71.3259188,7734475.08159,5690,217,NA
5693,1002.1613309214,1002.1613309214,1,223,Spanish Exclusive Economic Zone,200NM,2185,Spain,2185,Spain,ESP,0,NA,0,NA,NA,0,NA,0,NA,NA,-4.1579802,41.7212148,561681.917973,5693,273,NA
5696,551.1957206029,50.1113769337004,0.0909139441048061,228,United Kingdom Exclusive Economic Zone,200NM,2208,United Kingdom,2208,United Kingdom,GBR,0,NA,0,NA,NA,0,NA,0,NA,NA,-4.2591847,56.746924,732922.625801,5696,213,NA
8308,3106.6993902146,0,0,22,Cocos Islands Exclusive Economic Zone,200NM,8589,Cocos Islands,2147,Australia,CCK,0,NA,0,NA,NA,0,NA,0,NA,NA,96.8543357,-12.0314623,467439.781112,8308,19,NA
8309,1653.5650925577,350.757569285101,0.21212202099801,21,Christmas Island Exclusive Economic Zone,200NM,8590,Christmas Island,2147,Australia,CXR,0,NA,0,NA,NA,0,NA,0,NA,NA,105.3652265,-11.2435806,327994.30766,8309,18,NA
8310,2355.0802311279,1603.4537156241,0.680848870637487,32,Norfolk Island Exclusive Economic Zone,200NM,8591,Norfolk Island,2147,Australia,NFK,0,NA,0,NA,NA,0,NA,0,NA,NA,167.9289831,-29.0931357,430746.502762,8310,29,NA
8311,3858.1787773774,100.215397450401,0.0259747936093627,264,Australian Exclusive Economic Zone (Macquarie Island),200NM,8592,Macquarie Island,2147,Australia,AUS,0,NA,0,NA,NA,0,NA,0,NA,NA,158.6498742,-54.8781774,475737.98177,8311,252,NA
8312,1202.5774129881,1002.1466180873,0.833332313798592,31,New Caledonian Exclusive Economic Zone,200NM,2261,New Caledonia,17,France,NCL,0,NA,0,NA,NA,0,NA,0,NA,NA,163.2037662,-21.0187061,1175906.30347,8312,28,NA
