Sovereign1,length_km,World.Bank.classification
Angola,701.5372078213,Upper middle income
Argentina,651.4184744705,Upper middle income
Australia,13829.6880660748,High income
Bahamas,350.757569284901,High income
Barbados,501.0843436691,High income
Brazil,6163.2579778276,Upper middle income
Canada,1853.9591053734,High income
Chile,4058.7346313684,High income
Colombia,150.319417967099,Upper middle income
Costa Rica,50.1113769336999,Upper middle income
Cuba,50.1040205167001,Upper middle income
Ecuador,2655.792631233,Upper middle income
Equatorial Guinea,1002.1686873382,Upper middle income
Fiji,1102.3473027037,Upper middle income
France,7415.8805599959,High income
Gabon,250.5421718347,Upper middle income
Guyana,150.326774384099,Upper middle income
Ireland,651.3964052192,High income
Japan,3206.8853619967,High income
Marshall Islands,250.534815417601,Upper middle income
Mexico,350.757569285001,Upper middle income
Namibia,1703.7353208278,Upper middle income
New Zealand,11173.8512963389,High income
Norway,651.396405219201,High income
Oman,1202.6215514906,High income
Peru,450.980323152799,Upper middle income
Portugal,6213.361998344,High income
Republic of Mauritius,952.064666821801,Upper middle income
Russia,1904.0704823065,Upper middle income
Seychelles,1102.3399462866,High income
South Africa,3206.8706491628,Upper middle income
Spain,1503.2456745905,High income
Suriname,400.8395205506,Upper middle income
United Kingdom,6965.098860104,High income
United States,11574.8305888151,High income
Uruguay,300.6461923513,High income
