feature,absolute_held,relative_held
_area_km2,70743778.36083275,0.31905063864480476
bio_vgpm,10126677.718437195,0.39000002007689855
nspp_bivalves,28204.77650731802,0.6324589504828881
nspp_bony.fishes,8212739.677990913,0.3900039786931884
nspp_cephalopods,38107.46584367752,0.5505688107556267
nspp_cetaceans,398299.3929154873,0.39373980111127393
nspp_chitons,2351.2819808721542,0.5936074016699985
nspp_corals,34129.97184175253,0.5592710778113892
nspp_crustaceans,668431.4955142736,0.4344001386926736
nspp_echinoderms,49963.03649222851,0.5223568376286665
nspp_euphausiids,7408.145539462566,0.39000024146663803
nspp_forams,1390.2668437957764,0.7703499045349537
nspp_gastropods,47235.430304944515,0.5918275437096295
nspp_hydrozoans,37602.85319262743,0.6521158682293172
nspp_jellyfish,10386.0627399683,0.48431252617238724
nspp_other,136026.33900702,0.4579618836745546
nspp_pinnipeds,18526.204320430756,0.3900055672203223
nspp_reptiles,13562.332360386848,0.5391102096019303
nspp_sea.spiders,140809.00764417648,0.5368261499559083
nspp_seagrasses,32.351778626441956,0.6625128971292071
nspp_sharks.n.rays,323239.1453655958,0.43703840450866976
nspp_sponges,12455.049843132496,0.6920746587077072
nspp_tunas.n.billfishes,247268.9884313345,0.390010156233054
nspp_tunicates,290397.30069309473,0.5004358472853614
nspp_worms,111937.20417761803,0.5405322830364561
X2100_nspp_bivalves,39498.43101555109,0.5493293502269079
X2100_nspp_bony.fishes,7022479.887725115,0.4317007471917918
X2100_nspp_cephalopods,40179.30913460255,0.5566604514785801
X2100_nspp_cetaceans,414150.0760270357,0.40394793165401677
X2100_nspp_chitons,2932.9351115226746,0.6283255359744481
X2100_nspp_corals,77830.10227918625,0.390130693184261
X2100_nspp_crustaceans,729885.4658173323,0.42998269093613284
X2100_nspp_echinoderms,61051.513626635075,0.5006001707342215
X2100_nspp_euphausiids,6410.02065718174,0.8123380422823365
X2100_nspp_forams,1547.8104629516602,0.7680996931583826
X2100_nspp_gastropods,56320.14032095671,0.5693201524516117
X2100_nspp_hydrozoans,59245.05477541685,0.5295656457692469
X2100_nspp_jellyfish,11055.85799306631,0.48965181990379664
X2100_nspp_other,151035.17246234417,0.45979369615249027
X2100_nspp_pinnipeds,25789.320433616638,0.39945158105039347
X2100_nspp_reptiles,2747.7037665843964,0.3901375231449228
X2100_nspp_sea.spiders,154043.34578692913,0.5335499822494176
X2100_nspp_seagrasses,56.51812493801117,0.745091471528358
X2100_nspp_sharks.n.rays,364476.65779685974,0.4173144505917526
X2100_nspp_sponges,16669.2188513875,0.6531243399724984
X2100_nspp_tunas.n.billfishes,238125.49116837978,0.3900138224408405
X2100_nspp_tunicates,307758.65913170576,0.5009024583129374
X2100_nspp_worms,114257.78622412682,0.5272700071413137
rls_all_now,911167.9826193508,0.402386497839457
rls_all_future,1071599.5665143349,0.3900176200043854
phys_seamounts_gt200to800m,207,0.7554744525547445
phys_seamounts_gt800m,6561,0.3900713436385256
phys_seamounts_0to200m,86,0.7350427350427351
phys_vents,137,0.4807017543859649
scapes_hetero,160541.73467057943,0.39000486843390997
