feature,absolute_held,relative_held
_area_km2,220250771.05937573,0.9933191412265604
bio_vgpm,25965838.966983795,1
nspp_bivalves,44595.4262893796,1
nspp_bony.fishes,21058092.03667581,1
nspp_cephalopods,69214.71957588196,1
nspp_cetaceans,1011580.2156432867,1
nspp_chitons,3961.0051597356796,1
nspp_corals,61025.81234008074,1
nspp_crustaceans,1538746.0453532934,1
nspp_echinoderms,95649.24376034737,1
nspp_euphausiids,18995.233212172985,1
nspp_forams,1804.721251487732,1
nspp_gastropods,79812.82859677076,1
nspp_hydrozoans,57662.84033960104,1
nspp_jellyfish,21444.959976673126,1
nspp_other,297025.45966398716,1
nspp_pinnipeds,47502.40990781784,1
nspp_reptiles,25156.88280212879,1
nspp_sea.spiders,262299.08445358276,1
nspp_seagrasses,48.83192276954651,1
nspp_sharks.n.rays,739612.6794142723,1
nspp_sponges,17996.685309052467,1
nspp_tunas.n.billfishes,634006.5367004871,1
nspp_tunicates,580288.7668187022,1
nspp_worms,207086.9912686944,1
X2100_nspp_bivalves,71903.00499916077,1
X2100_nspp_bony.fishes,16267008.879197598,1
X2100_nspp_cephalopods,72179.20552444458,1
X2100_nspp_cetaceans,1025256.0876626968,1
X2100_nspp_chitons,4667.859164714813,1
X2100_nspp_corals,199497.51106208563,1
X2100_nspp_crustaceans,1697476.3896385431,1
X2100_nspp_echinoderms,121956.63764375448,1
X2100_nspp_euphausiids,7890.829092741013,1
X2100_nspp_forams,2015.1166270971298,1
X2100_nspp_gastropods,98925.25335425138,1
X2100_nspp_hydrozoans,111874.80768197775,1
X2100_nspp_jellyfish,22579.01950663328,1
X2100_nspp_other,328484.6524130106,1
X2100_nspp_pinnipeds,64561.818395614624,1
X2100_nspp_reptiles,7042.910777807236,1
X2100_nspp_sea.spiders,288713.9928999543,1
X2100_nspp_seagrasses,75.85394155979156,1
X2100_nspp_sharks.n.rays,873386.141505599,1
X2100_nspp_sponges,25522.27475106716,1
X2100_nspp_tunas.n.billfishes,610556.543042779,1
X2100_nspp_tunicates,614408.3623950481,1
X2100_nspp_worms,216696.91937077045,1
rls_all_now,2264409.9330164054,1
rls_all_future,2747567.0624888325,1
phys_seamounts_gt200to800m,274,1
phys_seamounts_gt800m,16820,1
phys_seamounts_0to200m,117,1
phys_vents,285,1
scapes_hetero,411640.334940549,1
